metric,status,reason,impact,source_artifact,source_pointer,evidence_layer,dry_run_only
fake.cleanup.coverage_placeholder,SKIPPED_WITH_REASON,Fake coverage is represented by deterministic tests and is not committed as real artifact evidence.,cleanup coverage for fake is intentionally excluded from real Valkey conclusions; see artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json.,artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json,$.L03.required_layers.fake.cleanup,fake,false
fake.cluster_build.coverage_placeholder,SKIPPED_WITH_REASON,Fake coverage is represented by deterministic tests and is not committed as real artifact evidence.,cluster_build coverage for fake is intentionally excluded from real Valkey conclusions; see artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json.,artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json,$.L03.required_layers.fake.cluster_build,fake,false
fake.failover.coverage_placeholder,SKIPPED_WITH_REASON,Fake coverage is represented by deterministic tests and is not committed as real artifact evidence.,failover coverage for fake is intentionally excluded from real Valkey conclusions; see artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json.,artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json,$.L03.required_layers.fake.failover,fake,false
fake.fault.coverage_placeholder,SKIPPED_WITH_REASON,Fake coverage is represented by deterministic tests and is not committed as real artifact evidence.,fault coverage for fake is intentionally excluded from real Valkey conclusions; see artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json.,artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json,$.L03.required_layers.fake.fault,fake,false
fake.management.coverage_placeholder,SKIPPED_WITH_REASON,Fake coverage is represented by deterministic tests and is not committed as real artifact evidence.,management coverage for fake is intentionally excluded from real Valkey conclusions; see artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json.,artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json,$.L03.required_layers.fake.management,fake,false
fake.observability.coverage_placeholder,SKIPPED_WITH_REASON,Fake coverage is represented by deterministic tests and is not committed as real artifact evidence.,observability coverage for fake is intentionally excluded from real Valkey conclusions; see artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json.,artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json,$.L03.required_layers.fake.observability,fake,false
fake.report_visualization.coverage_placeholder,SKIPPED_WITH_REASON,Fake coverage is represented by deterministic tests and is not committed as real artifact evidence.,report_visualization coverage for fake is intentionally excluded from real Valkey conclusions; see artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json.,artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json,$.L03.required_layers.fake.report_visualization,fake,false
fake.scale.coverage_placeholder,SKIPPED_WITH_REASON,Fake coverage is represented by deterministic tests and is not committed as real artifact evidence.,scale coverage for fake is intentionally excluded from real Valkey conclusions; see artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json.,artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json,$.L03.required_layers.fake.scale,fake,false
fake.stability.coverage_placeholder,SKIPPED_WITH_REASON,Fake coverage is represented by deterministic tests and is not committed as real artifact evidence.,stability coverage for fake is intentionally excluded from real Valkey conclusions; see artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json.,artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json,$.L03.required_layers.fake.stability,fake,false
fake.workload.coverage_placeholder,SKIPPED_WITH_REASON,Fake coverage is represented by deterministic tests and is not committed as real artifact evidence.,workload coverage for fake is intentionally excluded from real Valkey conclusions; see artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json.,artifacts/loop_engineering/stages/L03_METRIC_CATALOG_AND_COVERAGE_MATRIX/current_harness_plan.json,$.L03.required_layers.fake.workload,fake,false
fault.network_delay.observed_impact,SKIPPED_WITH_REASON,Sandbox lifecycle record cleared; non-node-stop fault does not require process/container restoration.,fault coverage for small-real is intentionally excluded from real Valkey conclusions; see artifacts/phases/P07_FAULT_INJECTION_SANDBOX/fault_report.json.,artifacts/phases/P07_FAULT_INJECTION_SANDBOX/fault_report.json,$.faults.0.observed_impact,small-real,false
fault.real_evidence.data_path_result,SKIPPED_WITH_REASON,Wrapper evidence skipped the data-path probe while live Valkey liveness and cluster probes passed.,fault coverage for small-real is intentionally excluded from real Valkey conclusions; see artifacts/phases/P07_FAULT_INJECTION_SANDBOX/valkey_e2e_evidence.json.,artifacts/phases/P07_FAULT_INJECTION_SANDBOX/valkey_e2e_evidence.json,$.data_path_result,small-real,false
management.operation.rebalance.duration_seconds,SKIPPED_WITH_REASON,Valkey cluster rebalance orchestration is deferred until management expansion.,management coverage for small-real is intentionally excluded from real Valkey conclusions; see artifacts/phases/P04_CLUSTER_MANAGEMENT_OPS/management_ops_report.json.,artifacts/phases/P04_CLUSTER_MANAGEMENT_OPS/management_ops_report.json,$.operations.9.duration_seconds,small-real,false
management.operation.remove_node.duration_seconds,SKIPPED_WITH_REASON,P04 records taxonomy only; destructive removal is deferred until a dedicated lifecycle phase.,management coverage for small-real is intentionally excluded from real Valkey conclusions; see artifacts/phases/P04_CLUSTER_MANAGEMENT_OPS/management_ops_report.json.,artifacts/phases/P04_CLUSTER_MANAGEMENT_OPS/management_ops_report.json,$.operations.7.duration_seconds,small-real,false
management.operation.reshard.duration_seconds,SKIPPED_WITH_REASON,P04 smoke cluster keeps slot ownership stable for wrapper data-path proof.,management coverage for small-real is intentionally excluded from real Valkey conclusions; see artifacts/phases/P04_CLUSTER_MANAGEMENT_OPS/management_ops_report.json.,artifacts/phases/P04_CLUSTER_MANAGEMENT_OPS/management_ops_report.json,$.operations.8.duration_seconds,small-real,false
management.operation.rolling_restart.duration_seconds,SKIPPED_WITH_REASON,Restart orchestration is deferred to later stability/fault phases.,management coverage for small-real is intentionally excluded from real Valkey conclusions; see artifacts/phases/P04_CLUSTER_MANAGEMENT_OPS/management_ops_report.json.,artifacts/phases/P04_CLUSTER_MANAGEMENT_OPS/management_ops_report.json,$.operations.10.duration_seconds,small-real,false
stability_soak.profile.resource_aware_status,SKIPPED_WITH_REASON,"Resource preflight passed for 30/50/100, but automatic L09 records resource-aware bounded profile coverage without claiming real stability coverage for large rungs. A future measured large-rung stability soak must emit bounded JSONL, real Valkey evidence, and cleanup PASS before real_valkey_coverage can become true.",stability coverage for 100 is intentionally excluded from real Valkey conclusions; see artifacts/loop_engineering/reports/stability_soak_metrics.json.,artifacts/loop_engineering/reports/stability_soak_metrics.json,$.profiles.3.status,100,false
stability_soak.profile.resource_aware_status,SKIPPED_WITH_REASON,"Resource preflight passed for 30/50/100, but automatic L09 records resource-aware bounded profile coverage without claiming real stability coverage for large rungs. A future measured large-rung stability soak must emit bounded JSONL, real Valkey evidence, and cleanup PASS before real_valkey_coverage can become true.",stability coverage for 30 is intentionally excluded from real Valkey conclusions; see artifacts/loop_engineering/reports/stability_soak_metrics.json.,artifacts/loop_engineering/reports/stability_soak_metrics.json,$.profiles.1.status,30,false
stability_soak.profile.resource_aware_status,SKIPPED_WITH_REASON,"Resource preflight passed for 30/50/100, but automatic L09 records resource-aware bounded profile coverage without claiming real stability coverage for large rungs. A future measured large-rung stability soak must emit bounded JSONL, real Valkey evidence, and cleanup PASS before real_valkey_coverage can become true.",stability coverage for 50 is intentionally excluded from real Valkey conclusions; see artifacts/loop_engineering/reports/stability_soak_metrics.json.,artifacts/loop_engineering/reports/stability_soak_metrics.json,$.profiles.2.status,50,false
stability_soak.resource_aware_profile.status,SKIPPED_WITH_REASON,"Resource preflight passed for 30/50/100, but automatic L09 records resource-aware bounded profile coverage without claiming real stability coverage for large rungs. A future measured large-rung stability soak must emit bounded JSONL, real Valkey evidence, and cleanup PASS before real_valkey_coverage can become true.",stability coverage for 100 is intentionally excluded from real Valkey conclusions; see artifacts/phases/P13_SCALE_LADDER_50_100/resource_preflight_100.json.,artifacts/phases/P13_SCALE_LADDER_50_100/resource_preflight_100.json,$.can_run,100,false
stability_soak.resource_aware_profile.status,SKIPPED_WITH_REASON,"Resource preflight passed for 30/50/100, but automatic L09 records resource-aware bounded profile coverage without claiming real stability coverage for large rungs. A future measured large-rung stability soak must emit bounded JSONL, real Valkey evidence, and cleanup PASS before real_valkey_coverage can become true.",stability coverage for 30 is intentionally excluded from real Valkey conclusions; see artifacts/phases/P12_SCALE_LADDER_10_30/resource_preflight_30.json.,artifacts/phases/P12_SCALE_LADDER_10_30/resource_preflight_30.json,$.can_run,30,false
stability_soak.resource_aware_profile.status,SKIPPED_WITH_REASON,"Resource preflight passed for 30/50/100, but automatic L09 records resource-aware bounded profile coverage without claiming real stability coverage for large rungs. A future measured large-rung stability soak must emit bounded JSONL, real Valkey evidence, and cleanup PASS before real_valkey_coverage can become true.",stability coverage for 50 is intentionally excluded from real Valkey conclusions; see artifacts/phases/P13_SCALE_LADDER_50_100/resource_preflight_50.json.,artifacts/phases/P13_SCALE_LADDER_50_100/resource_preflight_50.json,$.can_run,50,false
workload.timing_window.after_recovery.duration_seconds,SKIPPED_WITH_REASON,P05 workload_smoke has no recovery window.,workload coverage for small-real is intentionally excluded from real Valkey conclusions; see artifacts/phases/P05_WORKLOAD_ENGINE/workload_report.json.,artifacts/phases/P05_WORKLOAD_ENGINE/workload_report.json,$.timing_windows.3.duration_seconds,small-real,false
workload.timing_window.before_fault.duration_seconds,SKIPPED_WITH_REASON,P05 workload_smoke has no fault window.,workload coverage for small-real is intentionally excluded from real Valkey conclusions; see artifacts/phases/P05_WORKLOAD_ENGINE/workload_report.json.,artifacts/phases/P05_WORKLOAD_ENGINE/workload_report.json,$.timing_windows.1.duration_seconds,small-real,false
workload.timing_window.during_fault.duration_seconds,SKIPPED_WITH_REASON,P05 workload_smoke has no fault window.,workload coverage for small-real is intentionally excluded from real Valkey conclusions; see artifacts/phases/P05_WORKLOAD_ENGINE/workload_report.json.,artifacts/phases/P05_WORKLOAD_ENGINE/workload_report.json,$.timing_windows.2.duration_seconds,small-real,false
